"","Rank","Bib","Name","Nation","Sexo","Date","Time","WMTRC","Race"
"1","1",25,"Blandine LHIRONDEL","FRA","Female",2022-11-05,08:22:14,"Amazing Thailand","Long Trail Race"
"2","2",63,"Ida NILSSON","SWE","Female",2022-11-05,08:34:59,"Amazing Thailand","Long Trail Race"
"3","3",17,"Gemma ARENAS ALCAZAR","ESP","Female",2022-11-05,08:46:27,"Amazing Thailand","Long Trail Race"
"4","4",32,"Eszter CSILLAG","HUN","Female",2022-11-05,08:49:24,"Amazing Thailand","Long Trail Race"
"5","5",29,"Rosanna BUCHAUER","GER","Female",2022-11-05,08:50:45,"Amazing Thailand","Long Trail Race"
"6","6",26,"Audrey TANGUY","FRA","Female",2022-11-05,08:51:57,"Amazing Thailand","Long Trail Race"
"7","7",24,"Marion DELESPIERRE","FRA","Female",2022-11-05,08:51:57,"Amazing Thailand","Long Trail Race"
"8","8",19,"Maite MAYORA ELIZONDO","ESP","Female",2022-11-05,08:56:40,"Amazing Thailand","Long Trail Race"
"9","9",37,"Giuditta TURINI","ITA","Female",2022-11-05,09:00:05,"Amazing Thailand","Long Trail Race"
"10","10",50,"Sunmaya BUDHA","NEP","Female",2022-11-05,09:00:28,"Amazing Thailand","Long Trail Race"
"11","11",64,"Emma POOLEY","SUI","Female",2022-11-05,09:05:08,"Amazing Thailand","Long Trail Race"
"12","12",55,"Sylvia NORDSKAR","NOR","Female",2022-11-05,09:06:43,"Amazing Thailand","Long Trail Race"
"13","13",22,"Johanna ANTILA","FIN","Female",2022-11-05,09:07:09,"Amazing Thailand","Long Trail Race"
"14","14",40,"Honoka AKIYAMA","JPN","Female",2022-11-05,09:09:20,"Amazing Thailand","Long Trail Race"
"15","15",20,"Marta MOLIST CODINA","ESP","Female",2022-11-05,09:10:14,"Amazing Thailand","Long Trail Race"
"16","16",27,"Jocelyne PAULY","FRA","Female",2022-11-05,09:14:20,"Amazing Thailand","Long Trail Race"
"17","17",57,"Katarzyna WILK","POL","Female",2022-11-05,09:14:59,"Amazing Thailand","Long Trail Race"
"18","18",54,"Mari Klakegg FENRE","NOR","Female",2022-11-05,09:15:16,"Amazing Thailand","Long Trail Race"
"19","19",80,"Leah YINGLING","USA","Female",2022-11-05,09:16:28,"Amazing Thailand","Long Trail Race"
"20","20",23,"Manon BOHARD CAILLER","FRA","Female",2022-11-05,09:23:24,"Amazing Thailand","Long Trail Race"
